320d xDrive Luxury Line,2014,Dizel,Yarı Otomatik,179000,163,1995 cc,594000
320d Standart,2011,Dizel,Otomatik,246500,163,1995 cc,395000
320d Premium,2012,Dizel,Yarı Otomatik,220000,163,1995 cc,335000
316i Compact,1996,Benzin & LPG,Otomatik,250000,163,1596 cc,87500
318d Prestige,2017,Dizel,Otomatik,85000,163,1995 cc,705000
320d Luxury,2012,Dizel,Yarı Otomatik,191000,163,1995 cc,485000
320i First Edition M Sport,2019,Benzin,Otomatik,37000,163,1597 cc,1190000
318d Sport Plus,2017,Dizel,Otomatik,104000,163,1995 cc,700000
320i Premium,2007,Benzin,Yarı Otomatik,165000,163,1995 cc,269950
316i Sport Line,2012,Benzin,Yarı Otomatik,154000,163,1598 cc,495000
320i ED M Plus,2016,Benzin,Yarı Otomatik,90000,163,1598 cc,750000
318i M Joy,2015,Benzin,Yarı Otomatik,105000,163,1499 cc,519950
316i Standart,2014,Benzin,Otomatik,160000,163,1598 cc,499000
320d M Sport,2011,Dizel,Otomatik,253000,163,1995 cc,380000
320i First Edition M Sport,2021,Benzin,Otomatik,15750,163,1597 cc,1170000
316i Standart,2011,Benzin,Otomatik,99000,163,1596 cc,335000
320i ED Sport Line,2016,Benzin,Yarı Otomatik,225000,163,1598 cc,550000
316i M Sport,2012,Benzin,Otomatik,183000,163,1596 cc,515000
316i Standart,1992,Benzin & LPG,Manuel,300000,163,1596 cc,71500
320i First Edition Sport Line,2020,Benzin,Otomatik,36000,163,1597 cc,1020000
320i First Edition Sport Line,2021,Benzin,Otomatik,13700,163,1597 cc,1095000
318i Joy,2016,Benzin,Yarı Otomatik,38000,163,1499 cc,629000
320i ED Standart,2014,Benzin,Otomatik,130500,163,1598 cc,520000
316i Standart,2010,Benzin & LPG,Manuel,269900,163,1597 cc,265000
320d Edition Comfort,2012,Dizel,Otomatik,235000,163,1995 cc,385900
320i ED 40th Year Edition,2016,Benzin,Yarı Otomatik,128000,163,1598 cc,795000
320i ED Modern Line,2014,Benzin,Otomatik,51000,163,1598 cc,625000
320i First Edition Sport Line,2020,Benzin,Otomatik,19000,163,1597 cc,1125000
320i ED 40th Year Edition,2015,Benzin,Yarı Otomatik,161000,163,1598 cc,624000
316i M Sport,2014,Benzin,Yarı Otomatik,120000,163,1598 cc,549000
318i M Joy Plus,2016,Benzin,Yarı Otomatik,62000,163,1499 cc,577500
316i M Sport,2014,Benzin,Yarı Otomatik,126000,163,1598 cc,630000
316i Comfort,2014,Benzin,Otomatik,150000,163,1598 cc,510000
320d Comfort,2013,Dizel,Otomatik,94000,163,1900 cc,623500
320i ED Joy,2016,Benzin,Yarı Otomatik,59830,163,1598 cc,621000
320d Edition Comfort,2012,Dizel,Otomatik,143000,163,1995 cc,415000
320i First Edition Luxury Line,2021,Benzin,Otomatik,0,163,1597 cc,1285000
328i M Sport,2012,Benzin,Otomatik,153000,163,1997 cc,775000
316i Comfort,2012,Benzin,Otomatik,165000,163,1598 cc,435000
320i ED Standart,2014,Benzin,Otomatik,140000,163,1598 cc,478500
316i Luxury Line,2012,Benzin,Yarı Otomatik,258000,163,1598 cc,398000
320i Cabrio,1997,Benzin & LPG,Manuel,180000,163,1991 cc,225000
318i Standart,2016,Benzin,Otomatik,80000,163,1499 cc,609000
